feature,perm_importance_mean,perm_importance_std
mfcc_mean_1,0.045303867403314914,0.008839779005524838
mfcc_std_1,0.01574585635359112,0.005320817758082368
delta2_std_0,0.014088397790055223,0.008989580163134238
chroma_mean_7,0.014088397790055213,0.003256858044903747
delta_std_0,0.012430939226519323,0.008171380915883457
mfcc_mean_9,0.012154696132596654,0.003314917127071815
delta2_std_1,0.010773480662983398,0.00477668963143385
delta2_std_5,0.009668508287292793,0.004234726441092777
delta_mean_0,0.009668508287292793,0.004580973467341701
delta_mean_4,0.009392265193370141,0.006323493448762193
chroma_mean_1,0.00911602209944749,0.004712354173820978
delta2_std_13,0.00883977900552484,0.004059927750469346
delta2_std_7,0.008563535911602188,0.004445711861721282
delta2_mean_0,0.008287292817679537,0.004784670739140533
mfcc_mean_3,0.008011049723756885,0.007905573492405608
chroma_mean_0,0.008011049723756885,0.0032568580449037474
delta2_mean_17,0.008011049723756885,0.00641336285427838
mfcc_std_2,0.0077348066298342346,0.004752665893393704
mfcc_std_19,0.0077348066298342346,0.005898938260790765
mfcc_mean_17,0.0077348066298342346,0.005063619552437379
chroma_mean_2,0.0077348066298342346,0.005356552328636814
delta2_std_8,0.007458563535911583,0.004712354173820977
delta2_std_3,0.007458563535911583,0.003161746724381096
mfcc_std_15,0.007458563535911583,0.004376513678937795
chroma_mean_3,0.007182320441988932,0.006077348066298328
delta2_mean_19,0.007182320441988932,0.004972375690607722
mfcc_mean_14,0.006906077348066281,0.004234726441092777
delta2_mean_9,0.006906077348066281,0.004234726441092777
chroma_std_5,0.006906077348066281,0.0054902229045170545
mfcc_std_3,0.006906077348066281,0.004902828549530056
delta_mean_6,0.006629834254143629,0.006443040767784845
chroma_std_7,0.006629834254143629,0.006443040767784846
mfcc_mean_18,0.006629834254143629,0.005123546130108111
chroma_std_9,0.006353591160220978,0.005025802596314974
delta_std_16,0.006353591160220978,0.005025802596314974
mfcc_mean_16,0.006077348066298327,0.006513716089807495
delta2_std_6,0.006077348066298327,0.0038674033149171173
chroma_std_11,0.006077348066298327,0.0038674033149171173
chroma_mean_8,0.006077348066298327,0.007595429328656069
delta_std_9,0.005801104972375676,0.00477668963143385
delta2_mean_5,0.005801104972375676,0.005377879097771198
delta2_mean_1,0.005801104972375676,0.005377879097771198
delta_mean_3,0.005801104972375676,0.005086174762298874
chroma_mean_5,0.005801104972375676,0.006170803288311774
mfcc_std_11,0.005801104972375676,0.004088024471532792
delta_mean_10,0.005801104972375676,0.004445711861721282
delta_mean_9,0.005801104972375676,0.004445711861721282
mfcc_std_6,0.0055248618784530246,0.005794524023039496
delta_mean_2,0.0055248618784530246,0.004279539609068957
chroma_mean_11,0.005248618784530373,0.004088024471532791
delta2_mean_8,0.005248618784530373,0.005654555107861511
chroma_mean_10,0.004972375690607722,0.003450275137236675
mfcc_std_0,0.004972375690607722,0.008891423723442564
delta_mean_17,0.004972375690607722,0.005497168160810041
delta2_mean_11,0.004972375690607722,0.0029752291752124255
delta2_std_12,0.004972375690607722,0.007182320441988932
delta_mean_14,0.004972375690607722,0.004243726932524082
mfcc_mean_0,0.004696132596685071,0.006121138068000077
delta2_mean_6,0.004696132596685071,0.006828291212324996
mfcc_mean_6,0.004696132596685071,0.004712354173820978
delta2_std_14,0.00441988950276242,0.005950458350424851
delta2_std_10,0.00441988950276242,0.004488419008086155
mfcc_std_16,0.00441988950276242,0.00220994475138121
delta2_std_18,0.00441988950276242,0.006675716007510797
delta2_mean_14,0.00441988950276242,0.0051235461301081114
chroma_std_6,0.00441988950276242,0.004134428051683903
delta_std_14,0.004143646408839768,0.006020578651299258
delta_std_19,0.004143646408839768,0.0045809734673417
delta2_std_4,0.004143646408839768,0.0052048186965239565
mfcc_mean_7,0.0038674033149171173,0.0076355110282238774
chroma_std_8,0.0038674033149171173,0.004315055069561677
mfcc_std_13,0.003591160220994466,0.0026351911641352027
delta2_mean_10,0.003591160220994466,0.006121138068000077
mfcc_std_14,0.0033149171270718146,0.004752665893393704
delta_std_13,0.0033149171270718146,0.005634275705627372
mfcc_std_8,0.0033149171270718146,0.005898938260790765
delta_mean_12,0.0033149171270718146,0.004752665893393704
delta_mean_8,0.0033149171270718146,0.004059927750469346
mfcc_mean_2,0.0033149171270718146,0.004752665893393704
delta_std_3,0.0033149171270718146,0.005634275705627372
delta_std_4,0.0033149171270718146,0.005356552328636814
chroma_mean_4,0.0030386740331491634,0.004445711861721282
chroma_mean_9,0.0030386740331491634,0.005086174762298873
mfcc_std_10,0.0030386740331491634,0.00477668963143385
mfcc_mean_5,0.0027624309392265123,0.0027624309392265123
chroma_std_1,0.0027624309392265123,0.0032685523663533705
delta2_std_9,0.0027624309392265123,0.004097347230439583
delta2_mean_16,0.0027624309392265123,0.004454286048783718
chroma_mean_6,0.0027624309392265123,0.003706190017955444
chroma_std_0,0.0027624309392265123,0.003268552366353371
mfcc_mean_13,0.002486187845303861,0.00477668963143385
mfcc_mean_10,0.00220994475138121,0.004419889502762419
chroma_std_3,0.00220994475138121,0.004059927750469346
delta_mean_13,0.00220994475138121,0.0036647787738733613
delta_mean_5,0.00220994475138121,0.00506361955243738
delta_mean_7,0.0019337016574585586,0.005025802596314974
delta_std_7,0.0019337016574585586,0.004712354173820977
delta_std_5,0.0019337016574585586,0.005320817758082367
mfcc_mean_8,0.0016574585635359073,0.004315055069561677
delta_mean_19,0.0016574585635359073,0.0035376377002391338
delta2_mean_2,0.0016574585635359073,0.0046553313663957666
chroma_std_4,0.0013812154696132561,0.0052048186965239565
delta2_mean_12,0.0013812154696132561,0.004902828549530056
delta_mean_16,0.0013812154696132561,0.004580973467341701
mfcc_mean_12,0.0013812154696132561,0.0023923353695702665
mfcc_mean_4,0.0013812154696132561,0.006020578651299258
delta2_mean_7,0.0013812154696132561,0.003857524873969311
mfcc_std_4,0.0013812154696132561,0.0023923353695702665
mfcc_std_7,0.001104972375690605,0.004488419008086155
delta_mean_11,0.0008287292817679536,0.004712354173820977
mfcc_std_18,0.0008287292817679536,0.003161746724381096
mfcc_std_5,0.0005524861878453025,0.004910604650450589
delta_mean_18,0.0005524861878453025,0.004243726932524082
delta2_std_15,0.0005524861878453025,0.003450275137236675
delta2_mean_4,0.0005524861878453025,0.005212144271854464
delta2_std_2,0.00027624309392265125,0.004088024471532791
delta2_std_11,0.00027624309392265125,0.004445711861721282
delta_mean_1,0.00027624309392265125,0.005654555107861511
delta2_mean_3,0.00027624309392265125,0.0012041157302598515
delta2_std_16,0.00027624309392265125,0.0073034829096145035
transcript_length,0.0,0.0
word_count,0.0,0.0
delta_std_2,0.0,0.003906667299373181
unique_ratio,0.0,0.0
repetition_count,0.0,0.0
repetition_ratio,0.0,0.0
delta_std_18,-0.0005524861878453025,0.004243726932524083
delta_std_12,-0.0005524861878453025,0.006513716089807495
mfcc_mean_11,-0.0008287292817679536,0.0036123471907795546
delta_mean_15,-0.0008287292817679536,0.003161746724381096
mfcc_mean_15,-0.001104972375690605,0.002817137852813686
mfcc_mean_19,-0.001104972375690605,0.004134428051683903
delta2_std_19,-0.001104972375690605,0.004134428051683903
delta2_std_17,-0.0013812154696132561,0.005490222904517055
mfcc_std_17,-0.0016574585635359073,0.003537637700239134
delta_std_1,-0.0016574585635359073,0.004315055069561677
chroma_std_2,-0.0016574585635359073,0.003945540568255708
delta_std_17,-0.0019337016574585586,0.0031617467243810968
delta2_mean_15,-0.00220994475138121,0.003221520383892423
delta_std_6,-0.00220994475138121,0.006152225815281776
mfcc_std_12,-0.002486187845303861,0.004445711861721282
chroma_std_10,-0.002486187845303861,0.00274858408040502
delta_std_10,-0.0024861878453038668,0.006170803288311786
delta_std_8,-0.003591160220994466,0.004376513678937795
delta_std_15,-0.003591160220994466,0.006121138068000077
delta2_mean_18,-0.0038674033149171173,0.003537637700239134
mfcc_std_9,-0.004696132596685071,0.004012662719981744
delta_std_11,-0.005801104972375676,0.004445711861721282
delta2_mean_13,-0.005801104972375676,0.004088024471532791
